keyword,avg_monthly_searches,searches_past_months
ai systems engineer,390,"[10, 10, 10, 10, 10, 10, 30, 40, 40, 40, 50, 50, 50, 70, 50, 70, 50, 70, 110, 70, 70, 110, 70, 90, 90, 70, 90, 110, 170, 210, 170, 170, 210, 170, 140, 140, 260, 170, 170, 210, 210, 320, 320, 480, 390, 390, 390, 1000]"
ai infrastructure engineer,390,"[10, 10, 10, 10, 10, 10, 20, 30, 10, 10, 10, 30, 30, 20, 30, 40, 40, 50, 50, 70, 40, 50, 40, 30, 50, 50, 90, 50, 70, 170, 110, 140, 140, 170, 170, 260, 210, 170, 170, 210, 210, 320, 480, 480, 480, 590, 480, 590]"
ai penetration tester,390,"[30, 20, 30, 40, 30, 30, 30, 50, 70, 110, 90, 70, 110, 110, 110, 140, 90, 110, 110, 170, 210, 210, 110, 110, 140, 170, 210, 170, 170, 320, 260, 320, 480, 480, 320, 390, 320, 390, 320, 390, 320, 390, 480, 590, 480, 480, 390, 320]"
ai music producer,390,"[30, 20, 30, 40, 110, 170, 110, 140, 170, 210, 140, 90, 110, 90, 110, 110, 140, 170, 140, 170, 210, 210, 170, 170, 170, 170, 210, 210, 210, 210, 210, 210, 260, 320, 260, 260, 320, 320, 480, 480, 320, 320, 320, 320, 320, 320, 390, 390]"
ai solutions engineer,390,"[0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 20, 30, 30, 40, 30, 30, 30, 70, 90, 70, 50, 70, 90, 30, 70, 90, 140, 90, 50, 140, 170, 170, 210, 210, 210, 320, 320, 210, 260, 260, 260, 480, 480, 480, 480, 480, 590, 480]"
ai graphic designer,390,"[50, 30, 30, 50, 110, 210, 210, 320, 480, 590, 390, 390, 480, 390, 390, 320, 390, 480, 480, 480, 480, 480, 480, 480, 480, 480, 590, 480, 480, 590, 590, 590, 480, 480, 480, 390, 390, 390, 480, 390, 390, 390, 390, 390, 390, 260, 210, 260]"
ai life coach,390,"[40, 40, 50, 50, 70, 170, 140, 210, 260, 390, 320, 320, 590, 390, 390, 390, 390, 480, 320, 390, 390, 480, 390, 390, 320, 390, 480, 590, 480, 480, 480, 590, 480, 590, 590, 590, 480, 480, 590, 590, 390, 480, 390, 390, 320, 320, 320, 320]"
ai operator,320,"[20, 10, 10, 10, 10, 70, 50, 50, 70, 50, 90, 70, 90, 50, 70, 70, 70, 90, 50, 70, 70, 50, 50, 50, 70, 70, 70, 140, 170, 2900, 1900, 1000, 880, 880, 590, 480, 390, 210, 210, 320, 260, 260, 320, 320, 480, 320, 260, 260]"
ai entrepreneur,320,"[20, 30, 50, 50, 50, 170, 140, 110, 170, 210, 170, 170, 170, 140, 140, 170, 210, 260, 210, 260, 210, 210, 210, 210, 260, 210, 140, 170, 210, 260, 320, 320, 260, 260, 260, 260, 320, 320, 260, 260, 210, 210, 260, 1000, 260, 260, 260, 260]"
agentic ai engineer,320,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 40, 70, 110, 140, 140, 170, 260, 170, 170, 140, 210, 260, 390, 390, 480, 390, 390]"
ai integration specialist,320,"[0, 0, 0, 0, 0, 0, 0, 0, 50, 70, 50, 50, 40, 50, 40, 50, 70, 90, 90, 70, 70, 70, 70, 90, 90, 90, 90, 70, 140, 170, 140, 170, 320, 320, 390, 320, 320, 210, 210, 210, 210, 210, 590, 720, 390, 390, 320, 260]"
ai reporter,320,"[90, 140, 110, 70, 140, 210, 320, 320, 390, 320, 320, 390, 390, 320, 390, 390, 320, 390, 390, 480, 390, 390, 320, 320, 260, 260, 320, 260, 210, 320, 320, 390, 390, 390, 590, 390, 260, 320, 480, 320, 260, 260, 320, 320, 320, 260, 210, 260]"
